method,file,phi,tp,fp,fn,f1,matched_iou,n_pred,n_gt
connected comp.,BT474_Phase_D3_1_00d00h00m_4.tif,0.1059938376857518,53,24,75,0.5170731707317073,0.8262897699081546,77,128
connected comp.,MCF7_Phase_H4_1_00d08h00m_3.tif,0.1102085003278018,31,19,62,0.4335664335664335,0.773683803071711,50,93
connected comp.,MCF7_Phase_H4_2_00d08h00m_3.tif,0.114781123661495,22,23,84,0.2913907284768212,0.8054034964136982,45,106
connected comp.,Huh7_Phase_A12_2_00d16h00m_2.tif,0.1168020648492064,20,10,22,0.5555555555555556,0.8221390035657473,30,42
connected comp.,Huh7_Phase_A12_2_00d08h00m_1.tif,0.1206925176191,18,7,33,0.4736842105263157,0.8388144828559709,25,51
connected comp.,Huh7_Phase_A12_2_00d20h00m_2.tif,0.1242715482954564,20,6,24,0.5714285714285714,0.8370395372932323,26,44
connected comp.,BV2_Phase_A4_2_01d08h00m_3.tif,0.1262619446568997,23,34,247,0.1406727828746177,0.77127055923605,57,270
connected comp.,A172_Phase_C7_2_00d00h00m_2.tif,0.1295227178485504,56,13,48,0.6473988439306358,0.8029473812478088,69,104
connected comp.,SkBr3_Phase_G3_1_00d00h00m_3.tif,0.1333436557582902,85,29,86,0.5964912280701754,0.8063422065842638,114,171
connected comp.,MCF7_Phase_H4_2_00d04h00m_4.tif,0.1361548183457175,31,25,107,0.3195876288659793,0.8075263924101674,56,138
connected comp.,SHSY5Y_Phase_A10_2_00d12h00m_3.tif,0.1380454535893816,11,42,134,0.1111111111111111,0.8034533431439326,53,145
connected comp.,SkBr3_Phase_G3_1_00d04h00m_3.tif,0.139890525295022,88,24,79,0.6308243727598566,0.7787917966520337,112,167
connected comp.,SKOV3_Phase_E4_2_00d00h00m_4.tif,0.1426584577141608,28,24,18,0.5714285714285714,0.8814132806281074,52,46
connected comp.,BV2_Phase_A4_1_01d04h00m_4.tif,0.1448381379753116,32,41,274,0.1688654353562005,0.7896669534564453,73,306
connected comp.,Huh7_Phase_A12_2_03d20h00m_3.tif,0.1468831187172204,5,23,29,0.1612903225806451,0.8758429565335207,28,34
connected comp.,SKOV3_Phase_F4_2_00d00h00m_4.tif,0.1481236483828706,23,8,28,0.5609756097560976,0.8328036029035895,31,51
connected comp.,SkBr3_Phase_G3_1_00d00h00m_2.tif,0.1504229474431802,76,37,131,0.475,0.8257495208987146,113,207
connected comp.,Huh7_Phase_A12_2_01d16h00m_2.tif,0.1522591549661302,18,12,37,0.4235294117647059,0.7381338814407162,30,55
connected comp.,Huh7_Phase_A12_2_02d00h00m_1.tif,0.1542677997978574,14,10,37,0.3733333333333333,0.7488316447465465,24,51
connected comp.,SkBr3_Phase_G3_1_00d04h00m_4.tif,0.1562341936188849,82,42,119,0.5046153846153846,0.7916472645774556,124,201
connected comp.,Huh7_Phase_A12_2_00d20h00m_3.tif,0.1577817518028792,17,12,39,0.4,0.7778950154176807,29,56
connected comp.,Huh7_Phase_A12_1_01d16h00m_2.tif,0.1584713477928302,9,20,61,0.1818181818181818,0.7189286981276625,29,70
connected comp.,Huh7_Phase_A12_2_01d16h00m_3.tif,0.1611137650240333,17,10,36,0.425,0.8122286331295717,27,53
connected comp.,MCF7_Phase_H4_1_00d12h00m_2.tif,0.1638082270268782,17,24,137,0.1743589743589743,0.7273738147395263,41,154
connected comp.,Huh7_Phase_A12_1_01d20h00m_2.tif,0.1662786145104901,11,20,50,0.2391304347826087,0.7588896282995166,31,61
connected comp.,MCF7_Phase_H4_1_00d16h00m_2.tif,0.1681999506938327,19,23,122,0.2076502732240437,0.8303450615613722,42,141
connected comp.,SHSY5Y_Phase_A10_2_01d00h00m_3.tif,0.1699965802556821,8,51,173,0.0666666666666666,0.7782419585468734,59,181
connected comp.,Huh7_Phase_A12_1_02d04h00m_3.tif,0.173174020569272,17,16,34,0.4047619047619047,0.8468677763175928,33,51
connected comp.,BT474_Phase_D3_2_00d16h00m_4.tif,0.1764945076212916,25,30,101,0.2762430939226519,0.831967234512281,55,126
connected comp.,Huh7_Phase_A12_1_01d16h00m_3.tif,0.1796863701923214,11,19,70,0.1981981981981982,0.8126731680361385,30,81
connected comp.,Huh7_Phase_A12_1_02d16h00m_3.tif,0.1824805747377622,12,17,40,0.2962962962962963,0.8054515997370547,29,52
connected comp.,SHSY5Y_Phase_A10_2_01d08h00m_4.tif,0.1851556263658183,5,48,150,0.048076923076923,0.7092566016897275,53,155
connected comp.,BV2_Phase_A4_1_01d16h00m_3.tif,0.187492754179413,29,56,421,0.108411214953271,0.8192438793807997,85,450
connected comp.,MCF7_Phase_H4_1_01d00h00m_2.tif,0.1887665939138965,8,28,203,0.0647773279352226,0.7226937489807952,36,211
connected comp.,SkBr3_Phase_G3_2_00d12h00m_4.tif,0.1910039259178467,81,26,134,0.5031055900621118,0.8250264652919264,107,215
connected comp.,Huh7_Phase_A12_1_00d04h00m_1.tif,0.1929179481260964,28,14,48,0.4745762711864407,0.825521880628725,42,76
connected comp.,SKOV3_Phase_F4_1_00d00h00m_1.tif,0.1950236978256121,31,9,32,0.6019417475728155,0.8277836795688797,40,63
connected comp.,BT474_Phase_D3_2_01d00h00m_4.tif,0.1967080236560334,27,29,117,0.27,0.8092079001087408,56,144
connected comp.,MCF7_Phase_H4_1_00d12h00m_4.tif,0.199142346754818,18,34,192,0.1374045801526717,0.7741047347884215,52,210
connected comp.,SHSY5Y_Phase_A10_2_02d04h00m_4.tif,0.2029514238690923,5,79,194,0.0353356890459364,0.7223265981061229,84,199
connected comp.,A172_Phase_C7_1_00d00h00m_1.tif,0.2058335507266161,50,9,96,0.4878048780487805,0.8650366740368818,59,146
connected comp.,BT474_Phase_D3_2_01d12h00m_3.tif,0.2070248795345295,25,24,123,0.2538071065989847,0.8411174251432944,49,148
connected comp.,Huh7_Phase_A12_1_03d08h00m_3.tif,0.2098361360904707,12,14,46,0.2857142857142857,0.8059510724605122,26,58
connected comp.,BT474_Phase_D3_1_01d12h00m_4.tif,0.2120983371121049,20,47,166,0.1581027667984189,0.7652969136222276,67,186
connected comp.,BV2_Phase_A4_1_01d20h00m_3.tif,0.2154246559495214,40,49,464,0.1349072512647554,0.8310480620965619,89,504
connected comp.,BT474_Phase_D3_2_02d04h00m_4.tif,0.2166001582987392,16,28,139,0.1608040201005025,0.7787446701176046,44,155
connected comp.,BV2_Phase_A4_1_01d20h00m_2.tif,0.2186266480004475,33,39,535,0.103125,0.8204361258562985,72,568
connected comp.,BV2_Phase_A4_2_01d20h00m_2.tif,0.2205057551628058,37,40,455,0.1300527240773286,0.8336694626367841,77,492
connected comp.,Huh7_Phase_A12_1_03d04h00m_2.tif,0.2223006781304651,7,23,49,0.1627906976744186,0.7542891021056892,30,56
connected comp.,Huh7_Phase_A12_1_03d12h00m_3.tif,0.2246206583260453,14,11,21,0.4666666666666667,0.7977196013117703,25,35
connected comp.,Huh7_Phase_A12_1_03d16h00m_3.tif,0.2282039785019647,9,35,40,0.1935483870967742,0.8917649462044905,44,49
connected comp.,Huh7_Phase_A12_2_03d16h00m_2.tif,0.2313321384670037,6,13,38,0.1904761904761904,0.7196591433577891,19,44
connected comp.,BT474_Phase_D3_2_02d16h00m_3.tif,0.2341203089488616,21,28,124,0.2164948453608247,0.7780300870425313,49,145
connected comp.,Huh7_Phase_A12_1_01d00h00m_1.tif,0.2369281155758306,21,13,55,0.3818181818181818,0.8192329743092672,34,76
connected comp.,BT474_Phase_D3_2_04d12h00m_2.tif,0.2390348839051585,7,31,142,0.0748663101604278,0.8163237936852331,38,149
connected comp.,BV2_Phase_A4_2_01d20h00m_3.tif,0.2418549005681811,29,34,526,0.0938511326860841,0.8185622213715259,63,555
connected comp.,MCF7_Phase_H4_2_00d20h00m_2.tif,0.2437779255900471,19,31,213,0.1347517730496454,0.8324037710147637,50,232
connected comp.,MCF7_Phase_H4_1_01d20h00m_1.tif,0.2460750113363429,7,35,247,0.0472972972972973,0.8731248742142472,42,254
connected comp.,SHSY5Y_Phase_A10_2_01d16h00m_1.tif,0.2473626677228901,3,67,245,0.0188679245283018,0.7235057407734936,70,248
connected comp.,Huh7_Phase_A12_1_03d12h00m_2.tif,0.2495064894285503,7,21,48,0.1686746987951807,0.8284882637095452,28,55
connected comp.,Huh7_Phase_A12_1_03d20h00m_3.tif,0.2521237349759651,15,8,27,0.4615384615384615,0.7625245897457162,23,42
connected comp.,MCF7_Phase_H4_1_00d20h00m_4.tif,0.2537020290646659,21,31,204,0.151624548736462,0.784252485477965,52,225
connected comp.,SkBr3_Phase_G3_2_01d08h00m_1.tif,0.255853763931378,48,55,258,0.2347188264058679,0.7481365672391944,103,306
connected comp.,SkBr3_Phase_G3_2_01d00h00m_1.tif,0.2577601875273078,61,42,219,0.3185378590078329,0.8509179985551746,103,280
connected comp.,BT474_Phase_D3_2_04d00h00m_2.tif,0.2600584377731598,10,41,191,0.0793650793650793,0.887664700954826,51,201
connected comp.,SHSY5Y_Phase_A10_1_01d04h00m_2.tif,0.2631267046820448,1,70,358,0.0046511627906976,0.588957055214724,71,359
connected comp.,SkBr3_Phase_G3_2_01d12h00m_4.tif,0.2652523145214181,33,55,253,0.1764705882352941,0.7367039625549997,88,286
connected comp.,SkBr3_Phase_G3_1_01d08h00m_4.tif,0.2678101598011316,35,45,239,0.1977401129943503,0.7601897743765498,80,274
connected comp.,SkBr3_Phase_G3_2_01d04h00m_2.tif,0.2698067688756692,53,36,210,0.3011363636363636,0.7634435406186533,89,263
connected comp.,Huh7_Phase_A12_1_01d08h00m_1.tif,0.2733935830965909,14,20,98,0.1917808219178082,0.7636482397681287,34,112
connected comp.,BT474_Phase_D3_2_01d16h00m_1.tif,0.2760247847465017,18,36,209,0.1281138790035587,0.7660711717334646,54,227
connected comp.,SkBr3_Phase_G3_2_01d08h00m_3.tif,0.2781882167832071,49,60,295,0.2163355408388521,0.7587755549677063,109,344
connected comp.,SHSY5Y_Phase_A10_2_01d16h00m_3.tif,0.2794986263931396,8,54,428,0.0321285140562249,0.7256891474491685,62,436
connected comp.,SkBr3_Phase_G3_2_01d04h00m_3.tif,0.2831740664608851,57,50,257,0.2707838479809976,0.8180611715486663,107,314
connected comp.,SKOV3_Phase_F4_1_00d12h00m_4.tif,0.2874831672038954,15,11,35,0.3947368421052631,0.8246152781061341,26,50
connected comp.,MCF7_Phase_H4_1_01d20h00m_2.tif,0.2915954931982095,4,24,301,0.024024024024024,0.7766647993269824,28,305
connected comp.,SKOV3_Phase_E4_1_00d04h00m_3.tif,0.2958078291630249,18,8,41,0.4235294117647059,0.8706150032221048,26,59
connected comp.,Huh7_Phase_A12_1_00d20h00m_3.tif,0.2995207502458502,23,11,84,0.3262411347517731,0.8500351225388477,34,107
connected comp.,SHSY5Y_Phase_A10_1_01d16h00m_3.tif,0.3032984861232484,5,78,420,0.0196850393700787,0.6906212185672238,83,425
connected comp.,SkBr3_Phase_G3_2_01d16h00m_1.tif,0.3060274814248309,45,52,315,0.1969365426695842,0.7684102388519817,97,360
connected comp.,Huh7_Phase_A12_2_04d00h00m_4.tif,0.3089952739838308,6,33,55,0.12,0.8739837462162523,39,61
connected comp.,SHSY5Y_Phase_A10_2_01d12h00m_1.tif,0.3114219219842702,7,82,291,0.0361757105943152,0.6681947493668491,89,298
connected comp.,SkBr3_Phase_G3_1_01d20h00m_3.tif,0.3141810295563809,45,30,215,0.2686567164179104,0.7839500432875329,75,260
connected comp.,MCF7_Phase_H4_2_02d00h00m_3.tif,0.3154993471372599,2,32,358,0.0101522842639593,0.8812621773827635,34,360
connected comp.,SKOV3_Phase_E4_2_00d08h00m_2.tif,0.3190905915373649,13,13,58,0.268041237113402,0.884095074415997,26,71
connected comp.,BT474_Phase_D3_1_03d04h00m_4.tif,0.3236079871885817,7,44,222,0.05,0.8848419055827675,51,229
connected comp.,SHSY5Y_Phase_A10_2_01d20h00m_3.tif,0.3294207156905809,5,64,287,0.0277008310249307,0.7335964060077511,69,292
connected comp.,MCF7_Phase_H4_1_02d00h00m_1.tif,0.3314834697333926,7,19,455,0.0286885245901639,0.7287101977000195,26,462
connected comp.,SkBr3_Phase_G3_1_02d00h00m_3.tif,0.3352176300262214,43,37,241,0.2362637362637362,0.8160591534978445,80,284
connected comp.,SKOV3_Phase_F4_1_00d08h00m_3.tif,0.3387570954436227,16,5,46,0.3855421686746988,0.8320698955108621,21,62
connected comp.,MCF7_Phase_H4_1_01d12h00m_4.tif,0.3423966313374308,8,32,389,0.0366132723112128,0.8094139853807779,40,397
connected comp.,SKOV3_Phase_F4_2_00d16h00m_4.tif,0.3453774674934339,15,10,56,0.3125,0.8766109669244669,25,71
connected comp.,MCF7_Phase_H4_2_02d00h00m_1.tif,0.3539260380244945,6,23,425,0.0260869565217391,0.7641316279604813,29,431
connected comp.,SHSY5Y_Phase_A10_1_01d08h00m_2.tif,0.3570909380463368,7,83,350,0.0313199105145413,0.6809875572379391,90,357
connected comp.,BV2_Phase_A4_2_02d12h00m_4.tif,0.362422195012014,27,60,1096,0.0446280991735537,0.7424782505622889,87,1123
connected comp.,SKOV3_Phase_E4_1_00d04h00m_1.tif,0.3641226873907286,11,22,68,0.1964285714285714,0.7722146361945721,33,79
connected comp.,A172_Phase_C7_2_00d16h00m_1.tif,0.3682667789827302,10,13,89,0.1639344262295081,0.821844186893643,23,99
connected comp.,BT474_Phase_D3_1_03d04h00m_2.tif,0.3745985835063418,12,41,291,0.0674157303370786,0.727796637171679,53,303
connected comp.,SkBr3_Phase_G3_2_02d04h00m_3.tif,0.3784471567690063,44,41,380,0.1728880157170923,0.7909338531429558,85,424
connected comp.,MCF7_Phase_H4_1_02d08h00m_1.tif,0.384207790373675,0,25,411,0.0,,25,411
connected comp.,SHSY5Y_Phase_A10_2_01d16h00m_2.tif,0.3876556777207178,4,62,314,0.0208333333333333,0.7659839897549425,66,318
connected comp.,SkBr3_Phase_G3_2_01d20h00m_1.tif,0.3933343598393845,39,41,344,0.1684665226781857,0.7836869771780375,80,383
connected comp.,BT474_Phase_D3_1_05d00h00m_4.tif,0.3972270088505216,7,39,402,0.0307692307692307,0.8399492825993843,46,409
connected comp.,SKOV3_Phase_E4_1_00d04h00m_2.tif,0.400645403327151,12,12,68,0.2307692307692307,0.7967624827941249,24,80
connected comp.,Huh7_Phase_A12_1_03d16h00m_1.tif,0.4044489066597377,7,17,104,0.1037037037037037,0.8433657364511371,24,111
connected comp.,SkBr3_Phase_G3_2_02d08h00m_1.tif,0.4126753135926555,23,38,405,0.0940695296523517,0.8298754192651702,61,428
connected comp.,BV2_Phase_A4_1_02d12h00m_3.tif,0.4156009574409895,33,68,1019,0.05724197745013,0.754116684744164,101,1052
connected comp.,SKOV3_Phase_E4_2_01d08h00m_3.tif,0.4197373761199701,5,11,89,0.0909090909090909,0.8622204556729063,16,94
connected comp.,A172_Phase_C7_1_01d00h00m_3.tif,0.4295939887456251,4,5,123,0.0588235294117647,0.8200934096496092,9,127
connected comp.,BV2_Phase_A4_1_03d00h00m_3.tif,0.4342386035839234,15,72,1228,0.0225563909774436,0.7774888383264874,87,1243
connected comp.,A172_Phase_C7_1_01d08h00m_4.tif,0.4375402089707154,5,7,143,0.0625,0.8692690239418231,12,148
connected comp.,A172_Phase_C7_2_00d16h00m_2.tif,0.443464680261144,8,14,102,0.1212121212121212,0.7890360320816916,22,110
connected comp.,Huh7_Phase_A12_1_03d20h00m_1.tif,0.4473774491914329,9,20,108,0.1232876712328767,0.8202502800260699,29,117
connected comp.,SkBr3_Phase_G3_1_02d08h00m_4.tif,0.4542254804960597,32,25,368,0.1400437636761488,0.7810132925692959,57,400
connected comp.,Huh7_Phase_A12_2_03d04h00m_1.tif,0.4594225633741279,8,11,99,0.1269841269841269,0.8266766390644213,19,107
connected comp.,SKOV3_Phase_E4_2_00d16h00m_1.tif,0.4668090302666158,10,13,69,0.196078431372549,0.8733415436947916,23,79
connected comp.,MCF7_Phase_H4_1_02d04h00m_4.tif,0.4727780068564118,8,28,537,0.027538726333907,0.8082592208840952,36,545
connected comp.,MCF7_Phase_H4_2_02d00h00m_4.tif,0.4762265596317781,3,40,695,0.0080971659919028,0.7021038779673722,43,698
connected comp.,SkBr3_Phase_G3_1_02d08h00m_2.tif,0.4783392948262718,20,27,386,0.0883002207505518,0.7481668046020971,47,406
connected comp.,BV2_Phase_A4_1_02d16h00m_4.tif,0.4813652485795532,14,65,1372,0.0191126279863481,0.8293750522070328,79,1386
connected comp.,SKOV3_Phase_E4_1_01d04h00m_4.tif,0.4844538950502637,11,7,88,0.188034188034188,0.9078533646900694,18,99
connected comp.,SHSY5Y_Phase_A10_1_01d20h00m_4.tif,0.4897425954709503,5,89,511,0.0163934426229508,0.6913290184827848,94,516
connected comp.,SkBr3_Phase_G3_1_03d00h00m_3.tif,0.4960537390734145,26,25,380,0.1137855579868709,0.7963925728674615,51,406
connected comp.,SKOV3_Phase_E4_1_00d20h00m_4.tif,0.4985569782561186,5,4,76,0.1111111111111111,0.9002913327457929,9,81
connected comp.,A172_Phase_C7_1_01d08h00m_3.tif,0.5027165947334037,1,4,165,0.0116959064327485,0.8732545649838883,5,166
connected comp.,A172_Phase_C7_2_01d00h00m_3.tif,0.5090381120246996,4,7,117,0.0606060606060606,0.7862455407532698,11,121
connected comp.,SHSY5Y_Phase_A10_2_02d16h00m_3.tif,0.5162545786440113,1,81,568,0.0030721966205837,0.6929698708751794,82,569
connected comp.,SKOV3_Phase_F4_1_01d00h00m_2.tif,0.5206657349486425,4,8,103,0.0672268907563025,0.7790296986172704,12,107
connected comp.,SHSY5Y_Phase_A10_1_02d12h00m_2.tif,0.5254306994372903,2,85,715,0.0049751243781094,0.6906231072077529,87,717
connected comp.,SKOV3_Phase_E4_2_01d04h00m_2.tif,0.5345277313701963,6,2,127,0.0851063829787234,0.8510193274671781,8,133
connected comp.,SkBr3_Phase_G3_2_02d20h00m_1.tif,0.5431049725469721,19,20,507,0.0672566371681415,0.7497629198618888,39,526
connected comp.,SkBr3_Phase_G3_1_02d20h00m_2.tif,0.5477818668050606,15,18,508,0.0539568345323741,0.836396255666187,33,523
connected comp.,SHSY5Y_Phase_A10_1_02d08h00m_1.tif,0.55562100415207,3,55,591,0.00920245398773,0.6774193214947664,58,594
connected comp.,SKOV3_Phase_F4_1_01d16h00m_4.tif,0.5617371707003943,5,12,82,0.0961538461538461,0.902114158446051,17,87
connected comp.,SkBr3_Phase_G3_2_03d08h00m_2.tif,0.5677904742132884,23,21,528,0.0773109243697479,0.7772400767014898,44,551
connected comp.,SHSY5Y_Phase_A10_1_02d04h00m_1.tif,0.5744628777862822,3,77,575,0.0091185410334346,0.819101905319644,80,578
connected comp.,MCF7_Phase_H4_1_02d12h00m_4.tif,0.5853660441706763,4,28,769,0.0099378881987577,0.8595481909105774,32,773
connected comp.,SkBr3_Phase_G3_2_03d08h00m_4.tif,0.5923533996667588,14,19,492,0.0519480519480519,0.7357068856253102,33,506
connected comp.,SkBr3_Phase_G3_2_03d12h00m_4.tif,0.6037668222792922,13,20,526,0.0454545454545454,0.847829447097276,33,539
connected comp.,SKOV3_Phase_E4_1_00d20h00m_1.tif,0.6111803534746518,6,10,113,0.0888888888888888,0.8608914726772898,16,119
connected comp.,MCF7_Phase_H4_2_03d16h00m_1.tif,0.6209018373033282,1,34,1063,0.0018198362147406,0.5933333333333334,35,1064
connected comp.,SKOV3_Phase_E4_1_01d00h00m_1.tif,0.6279902730277525,6,15,140,0.0718562874251497,0.8768167800286178,21,146
connected comp.,SkBr3_Phase_G3_2_03d08h00m_1.tif,0.6328579001857547,23,17,600,0.0693815987933635,0.7784463195114458,40,623
connected comp.,MCF7_Phase_H4_2_02d12h00m_2.tif,0.6489565538953214,0,50,1029,0.0,,50,1029
connected comp.,MCF7_Phase_H4_1_03d08h00m_3.tif,0.6530734780648965,2,48,861,0.004381161007667,0.8373320394147507,50,863
connected comp.,SKOV3_Phase_F4_2_01d08h00m_2.tif,0.6631317093258323,6,1,111,0.0967741935483871,0.8583757732492064,7,117
connected comp.,MCF7_Phase_H4_2_03d08h00m_2.tif,0.6736426949027488,0,62,1266,0.0,,62,1266
connected comp.,SKOV3_Phase_E4_2_01d16h00m_4.tif,0.6815534055397634,4,4,118,0.0615384615384615,0.8981989497507178,8,122
connected comp.,SkBr3_Phase_G3_2_03d12h00m_3.tif,0.6886190432419088,17,13,674,0.0471567267683772,0.830511113459958,30,691
connected comp.,SHSY5Y_Phase_A10_1_03d00h00m_3.tif,0.6974546216674177,0,58,986,0.0,,58,986
connected comp.,SKOV3_Phase_F4_2_01d12h00m_1.tif,0.7039361254370582,4,2,134,0.0555555555555555,0.8118156160938164,6,138
connected comp.,SKOV3_Phase_E4_1_01d16h00m_3.tif,0.7178174923513944,3,3,132,0.0425531914893617,0.8719428338116074,6,135
connected comp.,SKOV3_Phase_E4_2_01d16h00m_2.tif,0.728647390461094,2,1,133,0.0289855072463768,0.916691583095617,3,135
connected comp.,BV2_Phase_A4_1_02d04h00m_2.tif,0.7376357161003044,30,51,1728,0.032626427406199,0.8604563356047891,81,1758
connected comp.,A172_Phase_C7_1_02d00h00m_2.tif,0.750573590881781,0,2,391,0.0,,2,391
connected comp.,SKOV3_Phase_E4_2_02d04h00m_3.tif,0.7612629919689756,0,1,171,0.0,,1,171
connected comp.,SHSY5Y_Phase_A10_1_03d00h00m_1.tif,0.7732970663516148,2,34,920,0.0041753653444676,0.7613931978032565,36,922
connected comp.,SHSY5Y_Phase_A10_1_03d08h00m_2.tif,0.7991580852545952,0,70,1261,0.0,,70,1261
connected comp.,SKOV3_Phase_E4_2_02d08h00m_3.tif,0.8169037991695806,0,1,186,0.0,,1,186
connected comp.,SKOV3_Phase_E4_2_02d04h00m_4.tif,0.8348433190832483,1,4,184,0.0105263157894736,0.9074889867841408,5,185
connected comp.,A172_Phase_C7_2_02d16h00m_4.tif,0.8449416152207169,0,1,325,0.0,,1,325
connected comp.,SKOV3_Phase_F4_2_02d00h00m_1.tif,0.8595048470279786,0,1,166,0.0,,1,166
connected comp.,SKOV3_Phase_F4_2_02d08h00m_3.tif,0.8677490965089631,0,1,203,0.0,,1,203
connected comp.,SKOV3_Phase_E4_1_02d20h00m_2.tif,0.878217421874996,0,1,335,0.0,,1,335
connected comp.,SKOV3_Phase_E4_2_02d12h00m_3.tif,0.8898521802611433,0,4,190,0.0,,4,190
connected comp.,SKOV3_Phase_E4_1_02d16h00m_2.tif,0.8982656349705043,0,1,303,0.0,,1,303
connected comp.,SKOV3_Phase_E4_1_02d00h00m_1.tif,0.9090176134997876,0,1,265,0.0,,1,265
Cellpose,BV2_Phase_A4_2_02d04h00m_3.tif,0.0007375248579544,1,772,1,0.0025806451612903,0.7162162162162162,773,2
Cellpose,BV2_Phase_A4_1_00d00h00m_1.tif,0.0294019703343539,80,1,0,0.9937888198757764,0.8158342747755185,81,80
Cellpose,BV2_Phase_A4_2_00d12h00m_2.tif,0.0368112431708886,101,4,5,0.957345971563981,0.8396547673312773,105,106
Cellpose,BV2_Phase_A4_2_00d12h00m_3.tif,0.0422572508741204,112,6,5,0.9531914893617022,0.8589929656325018,118,117
Cellpose,BV2_Phase_A4_1_00d08h00m_4.tif,0.0474488331785449,129,5,1,0.9772727272727272,0.8514728859311185,134,130
Cellpose,BV2_Phase_A4_1_00d12h00m_4.tif,0.0585218098502969,146,6,7,0.9573770491803278,0.8647690776148726,152,153
Cellpose,BV2_Phase_A4_1_00d16h00m_4.tif,0.0667061146470662,164,7,9,0.9534883720930232,0.8839348177012253,171,173
Cellpose,SHSY5Y_Phase_A10_1_00d00h00m_1.tif,0.0716887744482031,145,12,25,0.8868501529051988,0.8162150977688507,157,170
Cellpose,MCF7_Phase_H4_1_00d04h00m_1.tif,0.0813146346427115,77,13,7,0.8850574712643678,0.7717320668949104,90,84
Cellpose,Huh7_Phase_A12_1_00d04h00m_4.tif,0.0888376772836557,32,2,3,0.927536231884058,0.8605739382134869,34,35
Cellpose,SHSY5Y_Phase_A10_2_00d04h00m_1.tif,0.0926829638330505,95,19,37,0.7723577235772358,0.7623273635535089,114,132
Cellpose,A172_Phase_C7_2_00d00h00m_4.tif,0.0981362103911707,54,2,7,0.9230769230769232,0.8708456419379966,56,61
Cellpose,BT474_Phase_D3_2_00d00h00m_4.tif,0.1027899897563427,120,2,0,0.9917355371900828,0.8682104382004883,122,120
Cellpose,BT474_Phase_D3_1_00d00h00m_4.tif,0.1059938376857518,124,10,4,0.9465648854961832,0.8727082503542659,134,128
Cellpose,MCF7_Phase_H4_1_00d08h00m_3.tif,0.1102085003278018,85,4,8,0.934065934065934,0.8162938610348508,89,93
Cellpose,MCF7_Phase_H4_2_00d08h00m_3.tif,0.114781123661495,91,12,15,0.8708133971291866,0.8336576614246977,103,106
Cellpose,Huh7_Phase_A12_2_00d16h00m_2.tif,0.1168020648492064,33,1,9,0.868421052631579,0.8430749520605223,34,42
Cellpose,Huh7_Phase_A12_2_00d08h00m_1.tif,0.1206925176191,42,4,9,0.865979381443299,0.837704690399914,46,51
Cellpose,Huh7_Phase_A12_2_00d20h00m_2.tif,0.1242715482954564,39,3,5,0.9069767441860463,0.8517913348625535,42,44
Cellpose,BV2_Phase_A4_2_01d08h00m_3.tif,0.1262619446568997,253,1,17,0.965648854961832,0.8340454960392206,254,270
Cellpose,A172_Phase_C7_2_00d00h00m_2.tif,0.1295227178485504,83,4,21,0.8691099476439791,0.8495412698149862,87,104
Cellpose,SkBr3_Phase_G3_1_00d00h00m_3.tif,0.1333436557582902,170,1,1,0.9941520467836256,0.8446591631296813,171,171
Cellpose,MCF7_Phase_H4_2_00d04h00m_4.tif,0.1361548183457175,125,7,13,0.925925925925926,0.8275728460489836,132,138
Cellpose,SHSY5Y_Phase_A10_2_00d12h00m_3.tif,0.1380454535893816,84,18,61,0.680161943319838,0.708466066470398,102,145
Cellpose,SkBr3_Phase_G3_1_00d04h00m_3.tif,0.139890525295022,164,6,3,0.973293768545994,0.8162078507877634,170,167
Cellpose,SKOV3_Phase_E4_2_00d00h00m_4.tif,0.1426584577141608,44,2,2,0.9565217391304348,0.8948895322314566,46,46
Cellpose,BV2_Phase_A4_1_01d04h00m_4.tif,0.1448381379753116,291,6,15,0.965174129353234,0.8179380490917291,297,306
Cellpose,Huh7_Phase_A12_2_03d20h00m_3.tif,0.1468831187172204,30,24,4,0.6818181818181818,0.8286007445421044,54,34
Cellpose,SKOV3_Phase_F4_2_00d00h00m_4.tif,0.1481236483828706,47,4,4,0.9215686274509804,0.8490934163124721,51,51
Cellpose,SkBr3_Phase_G3_1_00d00h00m_2.tif,0.1504229474431802,202,1,5,0.9853658536585366,0.8591977390093692,203,207
Cellpose,Huh7_Phase_A12_2_01d16h00m_2.tif,0.1522591549661302,40,5,15,0.8,0.8144231773385882,45,55
Cellpose,Huh7_Phase_A12_2_02d00h00m_1.tif,0.1542677997978574,44,2,7,0.9072164948453608,0.8149235407259774,46,51
Cellpose,SkBr3_Phase_G3_1_00d04h00m_4.tif,0.1562341936188849,199,7,2,0.977886977886978,0.8112439445938464,206,201
Cellpose,Huh7_Phase_A12_2_00d20h00m_3.tif,0.1577817518028792,48,7,8,0.8648648648648649,0.8393463362526431,55,56
Cellpose,Huh7_Phase_A12_1_01d16h00m_2.tif,0.1584713477928302,39,10,31,0.6554621848739496,0.786906112438665,49,70
Cellpose,Huh7_Phase_A12_2_01d16h00m_3.tif,0.1611137650240333,34,11,19,0.6938775510204082,0.8143768493220723,45,53
Cellpose,MCF7_Phase_H4_1_00d12h00m_2.tif,0.1638082270268782,124,9,30,0.8641114982578397,0.8151952785000918,133,154
Cellpose,Huh7_Phase_A12_1_01d20h00m_2.tif,0.1662786145104901,52,3,9,0.896551724137931,0.7916598021772214,55,61
