file,cell_type,phi,hours,n_expert,meanq_expert,meanarea_expert,n_ours,meanq_ours,meanarea_ours,n_conncomp,meanq_conncomp,meanarea_conncomp,n_oursalt,meanq_oursalt,meanarea_oursalt,n_cellpose,meanq_cellpose,meanarea_cellpose
BT474_Phase_D3_2_00d16h00m_2.tif,BT474,0.16428180971372297,16.0,97,4.191682984952197,557.6494845360825,111,4.087087069773512,472.5855855855856,42,4.157503457307901,1231.7142857142858,76,4.106692595229573,680.6842105263158,91,4.0942740797317585,510.38461538461536
BT474_Phase_D3_2_04d04h00m_2.tif,BT474,0.25317132785183416,100.0,155,4.298511618241242,557.3032258064516,197,4.205358695601576,471.48730964467006,16,4.722413564570074,3569.8125,83,4.43826746480766,967.277108433735,122,4.112834590563261,569.327868852459
BT474_Phase_D3_2_03d16h00m_4.tif,BT474,0.2692017931872794,88.0,175,4.246090261965299,515.8971428571429,198,4.232811674248133,486.72222222222223,20,5.007366811161589,3683.7,94,4.400710435471898,959.8297872340426,149,4.115048838301091,531.3892617449665
BT474_Phase_D3_1_01d16h00m_2.tif,BT474,0.24760161221590496,40.0,169,4.323354623175758,465.20710059171597,193,4.128024485287225,465.3419689119171,35,4.234988867715735,2073.4285714285716,102,4.197957276179506,824.4509803921569,155,4.11295590361301,502.0967741935484
BT474_Phase_D3_2_04d16h00m_4.tif,BT474,0.21926153900785944,112.0,145,4.190745588980104,501.8344827586207,191,4.334783619053674,494.0418848167539,24,5.40486352859677,2404.9166666666665,91,4.561355100557161,874.6813186813187,153,4.126118983518743,498.32026143790847
BT474_Phase_D3_2_04d04h00m_3.tif,BT474,0.34033162956184143,100.0,227,4.293906522626908,485.40088105726875,221,4.2363499565196845,466.3122171945701,21,4.34502556979389,1373.2380952380952,101,4.421098182050011,836.0792079207921,170,4.061985489694252,526.2529411764706
BT474_Phase_D3_1_01d12h00m_3.tif,BT474,0.2341975229458027,36.0,156,4.236206851930747,428.4871794871795,143,4.157248436513025,446.3706293706294,31,4.540498982107555,1485.4193548387098,85,4.248405501581817,657.3764705882353,123,4.0882313948616185,467.1951219512195
BT474_Phase_D3_1_02d12h00m_2.tif,BT474,0.3216514752239969,60.0,201,4.2664452831639155,508.1393034825871,195,4.207052698419635,510.1333333333333,24,4.919823357108478,3184.125,100,4.312902388744751,921.27,158,4.176878998470376,541.3987341772151
BT474_Phase_D3_1_04d12h00m_2.tif,BT474,0.44557911617679125,108.0,352,4.247280009475265,400.30965909090907,256,4.310624332740856,519.27734375,15,4.84373164759735,3160.733333333333,98,4.567430183107293,1182.9591836734694,241,4.059475789620914,449.90871369294604
BT474_Phase_D3_2_01d12h00m_3.tif,BT474,0.20702487953452953,36.0,119,4.286860578399503,532.3193277310925,145,4.119533440745747,479.3103448275862,32,4.408153842239216,1764.40625,87,4.122033377970624,724.528735632184,110,4.076801244115611,543.0181818181818
BT474_Phase_D3_2_03d16h00m_2.tif,BT474,0.2563362800480805,88.0,156,4.294766245630731,540.0320512820513,168,4.217187478731592,513.8928571428571,16,4.902340940379564,3818.0,74,4.448439201888802,1063.2027027027027,116,4.158689811871925,593.3189655172414
BT474_Phase_D3_2_01d00h00m_2.tif,BT474,0.18796682378168386,24.0,108,4.263578139634152,558.4814814814815,119,4.158110999728286,518.4621848739496,36,4.269308750240241,1406.7222222222222,65,4.217044135704856,842.0769230769231,98,4.125938567312491,544.5714285714286
BT474_Phase_D3_1_02d12h00m_3.tif,BT474,0.30294466346153365,60.0,174,4.257081185855484,494.9942528735632,172,4.3440552558586685,501.9651162790698,20,4.966925615666434,2256.4,71,4.478262840258644,958.7042253521126,136,4.167532578045801,535.9705882352941
BT474_Phase_D3_1_01d04h00m_2.tif,BT474,0.2041622507375329,28.0,145,4.17073494328156,461.0344827586207,162,4.141542187240235,458.08024691358025,41,4.287534790389021,1552.878048780488,89,4.195016748539308,749.2696629213483,134,4.17320214776069,466.8358208955224
BT474_Phase_D3_2_04d12h00m_4.tif,BT474,0.26659115493882024,108.0,182,4.315107833425727,469.2692307692308,207,4.302242020535514,478.1352657004831,20,5.553152054795995,2824.65,96,4.609658093521565,892.2916666666666,155,4.121356798719091,507.9032258064516
BT474_Phase_D3_2_04d00h00m_1.tif,BT474,0.3145288203398186,96.0,206,4.244691065215262,497.72330097087377,238,4.27085432799456,505.0,15,5.262193015512812,4539.533333333334,104,4.514617284971593,1023.9038461538462,183,4.120404885861466,525.7103825136612
BT474_Phase_D3_1_04d00h00m_3.tif,BT474,0.3283701934003352,96.0,163,4.287189780124356,582.6564417177914,235,4.2545448652274445,472.53617021276597,9,5.642301483542252,3878.1111111111113,89,4.543883864305571,987.8988764044943,157,4.122881262813517,554.7515923566879
BT474_Phase_D3_2_00d12h00m_4.tif,BT474,0.15374611423731985,12.0,101,4.209921277082006,486.66336633663366,114,4.047803532085515,425.4736842105263,42,4.299312033262517,1072.8095238095239,90,4.055319158274499,516.6666666666666,102,4.117515753593995,448.19607843137254
BT474_Phase_D3_2_03d16h00m_3.tif,BT474,0.33589687718531885,88.0,210,4.2215922600768785,514.447619047619,213,4.19465073712158,489.76525821596243,22,4.264321793276328,1121.8636363636363,110,4.295778775975937,774.0090909090909,158,4.094772549944219,557.9620253164557
BT474_Phase_D3_2_01d12h00m_4.tif,BT474,0.19803827742570204,36.0,123,4.315288305867802,529.6260162601626,154,4.236302751110514,494.02597402597405,27,4.599972002976549,2080.3333333333335,82,4.344478741663685,793.1951219512196,118,4.150171428004708,544.3220338983051
BT474_Phase_D3_1_01d00h00m_4.tif,BT474,0.2022098557692316,24.0,115,4.1799257140295225,594.8869565217391,130,4.085045065727979,510.60769230769233,43,4.292885278853437,1499.0697674418604,86,4.133300419702138,749.5348837209302,112,4.125802266472943,540.4017857142857
BT474_Phase_D3_2_02d04h00m_4.tif,BT474,0.21660015829873921,52.0,141,4.116912898059491,516.7234042553191,192,4.158835003021561,466.9010416666667,31,4.5417654871203075,2234.1290322580644,99,4.258814527918187,785.6363636363636,133,4.111902513546446,578.2481203007519
