setting,file,phi,tp,fp,fn,f1,matched_iou
connected components,Huh7_Phase_A12_1_02d00h00m_4.tif,0.13045062295127088,9,13,27,0.3103448275862069,0.8804436252305654
detection-optimal,BV2_Phase_A4_2_01d12h00m_4.tif,0.13676440368225182,292,20,41,0.9054263565891473,0.7963801486823271
balanced,BV2_Phase_A4_2_01d12h00m_4.tif,0.13676440368225182,290,20,43,0.9020217729393468,0.7969682290971591
measurement-optimal,BV2_Phase_A4_2_01d12h00m_4.tif,0.13676440368225182,255,26,78,0.8306188925081434,0.8012515143999475
connected components,BV2_Phase_A4_2_01d12h00m_4.tif,0.13676440368225182,21,35,312,0.10796915167095116,0.7813134753898543
detection-optimal,BV2_Phase_A4_2_01d12h00m_3.tif,0.14131156113417248,297,13,34,0.9266770670826833,0.8133975727596268
balanced,BV2_Phase_A4_2_01d12h00m_3.tif,0.14131156113417248,290,15,41,0.9119496855345912,0.8132880196934662
measurement-optimal,BV2_Phase_A4_2_01d12h00m_3.tif,0.14131156113417248,245,29,86,0.8099173553719008,0.8152834162417539
connected components,BV2_Phase_A4_2_01d12h00m_3.tif,0.14131156113417248,27,33,304,0.13810741687979539,0.8130022530662502
detection-optimal,Huh7_Phase_A12_1_00d08h00m_3.tif,0.14491066337958539,37,25,15,0.6491228070175439,0.8342533886296185
balanced,Huh7_Phase_A12_1_00d08h00m_3.tif,0.14491066337958539,36,13,16,0.7128712871287128,0.8466008503902565
measurement-optimal,Huh7_Phase_A12_1_00d08h00m_3.tif,0.14491066337958539,34,4,18,0.7555555555555555,0.8552683189024297
connected components,Huh7_Phase_A12_1_00d08h00m_3.tif,0.14491066337958539,26,8,26,0.6046511627906976,0.8060705123390908
detection-optimal,Huh7_Phase_A12_1_03d00h00m_3.tif,0.14777242897726675,33,26,8,0.66,0.7740121918303946
balanced,Huh7_Phase_A12_1_03d00h00m_3.tif,0.14777242897726675,21,13,20,0.56,0.7925039663420337
measurement-optimal,Huh7_Phase_A12_1_03d00h00m_3.tif,0.14777242897726675,18,6,23,0.5538461538461539,0.8061518033451031
connected components,Huh7_Phase_A12_1_03d00h00m_3.tif,0.14777242897726675,9,18,32,0.2647058823529412,0.7936581815804373
detection-optimal,Huh7_Phase_A12_1_01d20h00m_4.tif,0.15217936079545097,38,14,5,0.8,0.8032427800390722
balanced,Huh7_Phase_A12_1_01d20h00m_4.tif,0.15217936079545097,37,8,6,0.8409090909090909,0.8096705114983039
measurement-optimal,Huh7_Phase_A12_1_01d20h00m_4.tif,0.15217936079545097,26,7,17,0.6842105263157895,0.8272314772353956
connected components,Huh7_Phase_A12_1_01d20h00m_4.tif,0.15217936079545097,9,9,34,0.29508196721311475,0.8672063564604748
detection-optimal,Huh7_Phase_A12_2_02d00h00m_1.tif,0.1542677997978574,42,30,9,0.6829268292682927,0.7820912159877744
balanced,Huh7_Phase_A12_2_02d00h00m_1.tif,0.1542677997978574,40,15,11,0.7547169811320755,0.7794254289398804
measurement-optimal,Huh7_Phase_A12_2_02d00h00m_1.tif,0.1542677997978574,23,8,28,0.5609756097560976,0.7308411986678504
connected components,Huh7_Phase_A12_2_02d00h00m_1.tif,0.1542677997978574,14,10,37,0.37333333333333335,0.7488316447465465
detection-optimal,BV2_Phase_A4_1_01d08h00m_4.tif,0.15700102750764908,352,22,49,0.9083870967741936,0.7746988320493492
balanced,BV2_Phase_A4_1_01d08h00m_4.tif,0.15700102750764908,349,22,52,0.9041450777202072,0.7747107145300249
measurement-optimal,BV2_Phase_A4_1_01d08h00m_4.tif,0.15700102750764908,286,44,115,0.7824897400820794,0.7763714466823566
connected components,BV2_Phase_A4_1_01d08h00m_4.tif,0.15700102750764908,25,44,376,0.10638297872340426,0.7847982948828002
detection-optimal,BV2_Phase_A4_1_01d12h00m_1.tif,0.15826057282560488,351,17,39,0.9261213720316622,0.7732397986879049
balanced,BV2_Phase_A4_1_01d12h00m_1.tif,0.15826057282560488,346,18,44,0.9177718832891246,0.773133491572541
measurement-optimal,BV2_Phase_A4_1_01d12h00m_1.tif,0.15826057282560488,284,36,106,0.8,0.7762259922271824
connected components,BV2_Phase_A4_1_01d12h00m_1.tif,0.15826057282560488,12,40,378,0.05429864253393665,0.8287245519843669
detection-optimal,BV2_Phase_A4_2_01d16h00m_2.tif,0.16141859716455179,334,53,34,0.8847682119205298,0.8056739611263566
balanced,BV2_Phase_A4_2_01d16h00m_2.tif,0.16141859716455179,333,53,35,0.883289124668435,0.8063098930533378
measurement-optimal,BV2_Phase_A4_2_01d16h00m_2.tif,0.16141859716455179,288,54,80,0.8112676056338028,0.8098819956298835
connected components,BV2_Phase_A4_2_01d16h00m_2.tif,0.16141859716455179,40,41,328,0.17817371937639198,0.8289983045529279
detection-optimal,MCF7_Phase_H4_2_00d20h00m_1.tif,0.1651648128824319,134,38,13,0.8401253918495298,0.8007485500687214
balanced,MCF7_Phase_H4_2_00d20h00m_1.tif,0.1651648128824319,130,28,17,0.8524590163934426,0.8074648144237803
measurement-optimal,MCF7_Phase_H4_2_00d20h00m_1.tif,0.1651648128824319,100,15,47,0.7633587786259542,0.8248609762551911
connected components,MCF7_Phase_H4_2_00d20h00m_1.tif,0.1651648128824319,16,26,131,0.1693121693121693,0.849386117335841
detection-optimal,BT474_Phase_D3_2_01d04h00m_3.tif,0.1678306392045415,106,43,51,0.6928104575163399,0.7928193025296251
balanced,BT474_Phase_D3_2_01d04h00m_3.tif,0.1678306392045415,99,34,58,0.6827586206896552,0.8050381504546736
measurement-optimal,BT474_Phase_D3_2_01d04h00m_3.tif,0.1678306392045415,69,29,88,0.5411764705882353,0.8172268886531873
connected components,BT474_Phase_D3_2_01d04h00m_3.tif,0.1678306392045415,33,24,124,0.308411214953271,0.8197675557350366
detection-optimal,Huh7_Phase_A12_2_01d16h00m_1.tif,0.16972497828344058,40,31,14,0.64,0.7896628816530066
balanced,Huh7_Phase_A12_2_01d16h00m_1.tif,0.16972497828344058,39,14,15,0.7289719626168224,0.7647890976248074
measurement-optimal,Huh7_Phase_A12_2_01d16h00m_1.tif,0.16972497828344058,24,7,30,0.5647058823529412,0.7920076783458256
connected components,Huh7_Phase_A12_2_01d16h00m_1.tif,0.16972497828344058,17,9,37,0.425,0.7840053141082927
detection-optimal,Huh7_Phase_A12_1_02d04h00m_3.tif,0.17317402056927206,41,24,10,0.7068965517241379,0.7805836454451721
balanced,Huh7_Phase_A12_1_02d04h00m_3.tif,0.17317402056927206,35,17,16,0.6796116504854369,0.7758363517713506
measurement-optimal,Huh7_Phase_A12_1_02d04h00m_3.tif,0.17317402056927206,28,8,23,0.6436781609195402,0.8152425883493388
connected components,Huh7_Phase_A12_1_02d04h00m_3.tif,0.17317402056927206,17,16,34,0.40476190476190477,0.8468677763175928
detection-optimal,MCF7_Phase_H4_2_01d00h00m_1.tif,0.1779091137183062,166,26,46,0.8217821782178217,0.7939116801590014
balanced,MCF7_Phase_H4_2_01d00h00m_1.tif,0.1779091137183062,150,23,62,0.7792207792207793,0.7897186907553229
measurement-optimal,MCF7_Phase_H4_2_01d00h00m_1.tif,0.1779091137183062,116,22,96,0.6628571428571428,0.792808447005285
connected components,MCF7_Phase_H4_2_01d00h00m_1.tif,0.1779091137183062,9,34,203,0.07058823529411765,0.7627564490331
detection-optimal,Huh7_Phase_A12_2_02d16h00m_1.tif,0.18139789253714703,31,35,9,0.5849056603773585,0.7300891378537441
balanced,Huh7_Phase_A12_2_02d16h00m_1.tif,0.18139789253714703,29,25,11,0.6170212765957447,0.7462774699921872
measurement-optimal,Huh7_Phase_A12_2_02d16h00m_1.tif,0.18139789253714703,23,4,17,0.6865671641791045,0.7722416527875149
connected components,Huh7_Phase_A12_2_02d16h00m_1.tif,0.18139789253714703,13,6,27,0.4406779661016949,0.8112571865289591
detection-optimal,SHSY5Y_Phase_A10_2_00d20h00m_2.tif,0.18492138385051235,125,66,38,0.7062146892655368,0.7290248875558919
